1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
135,2393,12532,6705,,,11916,4399,8042,6420,,1111,4127,1925,4352,12092,367,11984,10342,151,8767,8295,11846,3483,708,351,,8213,7180,4461,1814,7935,10032,5500,806,8794,6200,9036,,747,554, ,,15284,7433,7632,9151,3992,3412,11036,2864,8176,11885,468,1011,15549,625,4382,13289,12691,,13506,7143,566,13452,,,11048,9257,10202,10035,14267,13484,5348,2495,13726,885,,5669,8021,,12892,11992,2990,7920,,2606,,,9058,3244,5814,10176,6052,12594
136,2394,12533,6706,,,11937,4400,8061,6421,,1132,4128,1948,4851,12093,368,11985,10343,152,8768,8316,11847,3484,709,352,,8214,7181,4462,1815,7936,10033,5522,807,8795,6201,9037,,748,555,,,15285,7434,7633,9152,3993,3413,11037,2865,8177,12335,469,1031,15550,1071,4383,13311,12692,,13507,7162,567,13453,,,11522,9258,10203,10036, ,13485,5349,2517,13727,906,,5691,8022,,12916,11993,3014,7941,,2607,,,9059,3245,5815,10177,6651,12595
137,2416,12553,6727,,,11938,4401,8062,6422,,1133,4150,1949,4852,12094,369,11986,10344,153,8769,8317,11848,3505,710,353,,8215,7202,4463,1816,8460,10034,5523,808,8796,6220,9038,,749,556,,,15286,7435,7634,9153,4014,3436,11057,2866,8178,12336,487,1032,15574,1072,4384,13312,13265,,13508,7163,568,13454,,,11523,9259,10204,10037,,14056,5350,2518,13728,907,,5692,8043,,12917,12567,3015,7942,,2608,,,9080,3246,5838, , ,12596
138,2417,12554,6728,,,11939,4402,8063,6423,,1134,4175,1950,4853,12095,370,11987,10345,154,8789,8318,11869,3506,733,354,,8235,7203,4960,1835,8461,10056,5524,827,8797,6221,9060,,750,576,,,15308,7983,7651,9154,4015,3437,11058,2867,8179,12357,488,1033,15575,1073,4403,13313,13266,,13509,7164,569,13455,,,11547,9260,10205,10038,,14057,5370,2519,13729,908,,5693,8044,,13440, ,3512,7943,,2609,,,9081,3247,5839,,,12617
139,2418,12555,6729,,,11940,4422,8064,6424,,1135,4628,1973,4876,12116,371,11988,10346,155,8790,8319,11870,3507,734,355,,8236,7204,4961,1836,8483,10057,5525,828,8798,6222,9061,,771,577,,, ,7984,7652,9172,4016,3438,11059,2868,8199,12358,489,1034,15600,1095,4404,13314,13290,,13510,7165,570,13476,,,11548,9281,10206,10060,,14058,5371,2520,13730,909,,5694,8045,,13441,,3513,7944,,2631,,,9082,3269,6361,,,12618
140,2442,12556,6730,,,11941,4423,8065,6425,,1136,4651,1974,4877,12117,372,12007,10366,156,8791,8818,12369,3508,1234,373,,8237,7205,4985,1837,8484,10058,6049,829,8819,6223,9062,,772,578,,,,7985,7653,9173,4017,3462,11060,2889,8200,12359,490,1035, ,1096,4405,13337,13291,,13531,7166,589,13477,,,11549,9282,10207,10061,,14059,5372,2521,13731,910,,5695,8046,,13465,,3514,8467,,2632,,,9083,3270,6362,,,12619
141,2443,12557,6731,,,11963,4424,8066,6971,,1157,4652,1975,4878,12118,393,12008,10367,626,8792,8841,12370,3509,1235,374,,8238,7227,4986,1838,8485,10059,6050,830,8820,6224,9063,,773,579,,,,8007,7654,9174,4018,3463,11061,2890,8201,12360,491,1036,,1097,4406,13338,13315,,13532,7167,590,13478,,,11551,9283,10208,10062,,14060,5373,2522,13751,911,,5716,8068,,13466,,3536,8468,,2633,,,9084,3271,6363,,,12620
142,2467,12558,6732,,,11964,4425,8067,6972,,1158,4653,2000,4879,12119,394,12009,10368,627,8815,8842,12394,3510,1255,375,,8239,7228,4987,1839,8486,10081,6072,831,8821,6225,9085,,774,580,,,,8008,7655,9175,4019,3988,11062,2891,8202,12361,492,1057,,1098,4407, ,13316,,13533,7188,591,13479,,,11572,9284,10224,10609,,14081,5374,2523,13752,930,,5717,8069,,13490,,3537,8469,,2634,,,9105,3294,6364,,,12621
143,2893,12578,6753,,,11965,4426,8089,6973,,1159,4654,2525,4900,12120,395,12010,10369,628,8816,8843,12395,3511,1256,376,,8240,7229,4988,1840,8487,10082,6073,832,8822,6249,9086,,775,581,,,,8009,7656,9176,4039,4011,11083,2892,8203,12382,493,1058,,1099,4408,,13940,,13534,7189,592,13480,,,11573,9306,10225,10610,,14082,5395,2524,13753,931,,5718,8070,,13491,,3538,8491,,2635,,,9106,3843,6385,,,12622
144,2894,12579,6754,,,12488,4427,8090,6995,,1160,4676,2549,4901,12121,396,12032,10370,629,8817,8844,12396,3531,1257,377,,8260,7676,4989,1841,8507,10083,6074,833,8823,6771,9087,,795,601,,,,8010,7657,9177,4040,4012,11084,3415,8224,12383,494,1059,,1120,4409,, ,,13535,7190,593,13501,,,11574,9307,10226,10611,,14083,5396,2542,13754,932,,5719,8071,,13516,,3539,8492,,2657,,,9107,3844,6386,,,12623
