1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
377,5354,617,3575,12850,,225,7752,12879,1321,5267,131,7043,4709,13030,,2947,11120,3023,5518,10740,,5117,15484,6945,,3584,,7857,958,1014,11230,439,,10888,1245,,6915,2620,2464,1251,865,,2131,8149,3952,2466,,,1456,1019,5437,5588,11641,8175,4049,13237,,4595,15255,11877,804,952,,,318,14997,497,6728,1936,5104,7600,,,9503,5573,8266,,9885, ,6568,1922,9563,136,6935,7466,5883,8555,10707, ,10513,5805,7985,11202,6360,9170,1103,10540,,2069,5377,1154,10724,,2379
378,5355,618,4095,12874,,245,7753,12880,1322,5290,132,7044,4710,13052,,2966,11121,3024,5540,10762,,5118,15485,6946,,3585,,7858,959,1015,11804,440,,10889,1717,,6916,2621,2961,14426,887,,2132,8172,3953,2467,,,1457,1020,5438,5589,11642,8198,4069,13238,,4616,15256,11878,805,953,,,342,14998,498,6729,1958,5105,7601,,,9525,5595,8267,,9908,,6569,1923,9564,137,6936,7467,5906,8556,10729,,10514,5828,7986,11225,6361,9171,1104,10541,,2070,5401,1155,10725,,2380
379,5356,619,4096,12875,,246,7754,12881,1345,5291,133,7045,4711,13053,,2967,11144,3025,5541,10763,,5138,15507,6947,,3606,,7859,1511,1016,11828,441,,10890,1718,,6937,2622,2962,14427,888,,2133,8173,3971,2468,,,1458,1021,5439,5590,11663,8199,4070,13262,,4617,15257,11879,1252,975,,,343,14999,499,6730,1959,5106,7602,,,9526,5596,8268,,9909,,6570,1924,9586,141,6955,7468,5907,8557,10730,,10537,5829,7987,11226,6362,9172,1655,10542,,2071,5926,1156,10726,,2401
380,5357,620,4097,13421,,247,7755,12882,1346,5292,134,7046,4712,13054,,2968,11145,3048,5542,10764,,5139,15508,6970,,3607,,7860,1536,1017,11829,442,,10914,1741,,6938,2623,2963,14451,1413,,2134,8621,3972,2469,,,1459,1022,5462,5613,11664,8200,4071,13838,,4618, ,11898,1253,976,,,792,15546,500,6749,1960,5129,7603,,,9527,5597,8269,,9910,,6590,1925,9587,142,6956,7469,6431,8572,10731,,10538,5830,7988,11724,6383,9193,1656,10543,,2072,5927,1157,10748,,2402
381,5378,641,4098,13422,,248,7775,12883,1347,5293,135,7068,4713,13055,,2969,11146,3049,6065,11288,,5140,15509,7517,,3608,,7861,12709,1512,11830,457,,11488,1742,,6939,2624,2964,14452,1414,,2135,8622,3973,2470,,,1481,1545,5463,5614,11665, ,4072, ,,4619,,11899,1254,977,,,793,15547,501,6750,1961,5130,8152,,,9528,5621,8270,,9911,,6591,1926,9588,636,6957,7489,6432,8573,10732,,10539,5852,8009,11748,6384,9194,1677,10565,,2093,5928,1158,10749,,2403
382,5379,642,4099,13423,,249,7776,12904, ,5316,155,7069,4734,13078,,2970,11169,3050,6066,11289,,5141,15510,7518,,3609,,7882,12710,1513,11853,458,,11513,1743,,6940,2647,2985,14453,1415,,2136,8646,3974,2471,,,1482,1546,6039,5615,11666,,4073,,,4620,,11900,1255,1000,,,817,15548,502,6751,1983,5131,8176,,,9550,5622,8290,,9932,,6592,1946,9612,637,6958,7490,6433,8574,11254,,10562,5853,8010,11749,6385,9195,1678,10566,,2094,5951,1179,10750,,2404
905,5380,643,4120,13424,,250,7777,12905,,5317,156,7070,4735,13079,,2971,11170,3073,6067,11312,,5142,15511,7519,,3631,,7883,12711,1514,11854,459,, ,1744,,6941,2648,2986,14476,1416,,2156,8647,3975,2472,,,1483,1569,6062,5639,11667,,4074,,,4642,,11901,1256,1001,,,818,15571,520,6752,1984,5704,8177,,,9551,6169,8291,,9933,,6593,1947,10137,638,6959,7491,6434,8575,11255,,10563,5854,8011,11750,6386,9196,1679,10567,,2095,5952,1180,10751,,2405
906,5381,1164,4121,13425,,270,7778,12906,,5319,157,7071,4736,13080,,2972,11744,3074,6087,11313,,5143,15532,7520,,3632,,7884,12734,1515,12429,460,,,1765,,6962,2649,2987,14477,1437,,2157,8648,3976,2473,,,1484,1570,6063,5640,11689,,4621,,,4643,,11902,1257,1025,,,841,15572,521,6753,1985,5705,8178,,,9552,6170,8763,,9934,,6594,1948,10138,639,6960,7492,6456,8578,11279,,10564,5855,8012,11751,6387,9666,1680,10568,,2096,5953,1181,10772,,2406
930,5382,1165,4122,13446,,271,7779,12907,,5891,158,7093,4737,13103,,2993,11745,3599,6088,11314,,5162,15533,7521,,3633,,7885,12735,1537,12479,461,,,1766,,6963,2672,2988,14478,1438,,2158,8670,3998,2491,,, ,1571,6064,5665,11690,,4622,,,4644,,11903,1276,1426,,,842,15573,522,6754,1986,5706,8201,,,9553,6171,8764,,9935,,6615,1949,10161,640,6961,7493,6457,8579,11280,,10588,5877,8013,11772,6409,9667,1681,10590,,2097,5976,1182,10773,,2426
931,5383,1188,4123,13447,,272,7799,12908,,5892,159,7094,4738,13104,,2994,11769,3600,6089,11315,,5163,15534,7522,,3634,,7886,12736,1538, ,462,,,1767,,6964,2673,2989,15026,1439,,2159,8671,3999,2492,,,,1594, ,6163,11691,,4645,,,4669,,11904,1277,1427,,,843,15596,523,6755,2008,5729,8202,,,10052,6194,8765,,9936,,6616,1950,10162,661,6980,7494,6458,8580,11281,,10589,5878,8034,11773,6410,9668,1703,10591,,2098,5977,1183,10774,,2427
932,5402,1189,4124,13448,,273,7800,12930,, ,180,7095,4759,13105,,2995,11770,3624,6090,11338,,5164,15535,7542,,3656,,7887,12758,1539,,463,,,1768,,6965,2674,3010,15027,1440,,2160,8672,4000,2493,,,,1595,,6187,11692,,4646,,,5168,,11923,1278,1451,,,844,15597,524,6774,2009,5730,8225,,,10076,6195,8766,,9957,,6617,1951,10163,662,6981,7964,6459,8581,11282,,10613,5879,8035,11774,6411,9691,1704,10592,,2118,6001,1205,10775,,2428
954,5403,1190,4125,13449,,274,7801,12931,,,181,7096,4760,13627,,2996,11771,3625,6091,11339,,5165,15558,7543,,3657,,7907,12759,1540,,464,,,1769,,6966,2698,3011,15051,1441,,2161,8673,4494,2494,,,,1596,,6188,11716,,4647,,,5193,,11924,1279,1452,,,866,15598,525,6775,2010,5754,8226,,,10077,6196,8767,,9958,,6618,1974,10164,663,6982,7965,6482,8582,11304,,10614,5880,8036,11775,6435,9692,1705,10593,,2119,6551,1206,10776,,2429
955,5404,1213,4146,13450,,275,7802,12932,,,629,7118,4761,13628,,2997,11794,3649,6092,11340,,5166,15559,7544,,3658,,7908,12760,1541,,465,,,1770,,6987,2699,3012,15052,1462,,2181,8695,4495,2495,,,,1621,,6189,11717,,4648,,,5217,,11925,1280,1453,,,867,15621,526,6776,2011,5755,8801,,,10101,6220,8768,,9959,,6619,1975,10186,664,6983,7966,6483,8583,11305,,10638,5902,8037,11776,6436,9693,1728,11116,,2120,6552,1207,10777,,2430
