Max Schmid of Grain,Misorientation,Shared Surface Area,Grain Size,mP Slip Trans,Sphericity,Delta Max Schmid,Delta Grain Size,FIP
0.49964382784662326,0.9834334829904577,1260.0,126576,0.7923003219592727,0.61576664,0.009264763776663465,100224,-14.491647897287946
0.48979072410791574,0.9517658569519131,1656.0,97200,0.6638107543903731,0.70097876,-0.007998157137774464,4536,-17.307483471544234
0.4977888812456902,1.0170140710047684,2376.0,137808,0.861862120522939,0.67482156,0.029731103589637486,46656,-14.838785935912219
0.4977888812456902,0.9699168642129312,1836.0,122904,0.8894631463264955,0.6583426,0.04824267051434106,53784,-13.613372852645577
0.4998743852432435,1.02518366867008,1908.0,126576,0.9797144282399018,0.70097876,0.09009215520486091,42768,-13.790988518870874
0.48832609708010716,1.026937645205573,756.0,122904,0.6359716487534083,0.65616107,0.004050457155684584,113184,-13.847707540134813
0.49598522083572694,1.0438705050110302,1800.0,126576,0.37246631292529997,0.70097876,-0.003991270195636887,86400,-11.583180214336396
0.49641642550196985,1.0114292859574106,1044.0,81864,0.7833935613238803,0.67119652,0.02973951980624856,75384,-12.402024843878264
0.49598072470963933,1.0454222805204383,1620.0,116208,0.4509562297085507,0.68726945,0.02855004247154691,59184,-12.629625943173933
0.4993160835142038,1.0741004588367384,1944.0,134784,0.7882768420089721,0.68726945,0.04277852606582555,-1728,-18.11542158722227
0.49641642550196985,0.967465894369913,1728.0,136512,0.8921829696248955,0.63902444,0.050474987214705114,60480,-11.959476457350508
0.4844098356879953,1.0372173670941707,684.0,134784,0.2000566808604257,0.51180351,-0.010728443682838207,129384,-11.61147883390807
0.49968692719843794,1.0389568832676517,1944.0,134784,0.7375125788186713,0.68726945,0.034658748601879064,56592,-13.646626254332013
0.4993160835142038,1.0394442992390853,2268.0,116208,0.8385385728546693,0.67119652,0.06756597337526776,30456,-11.63375731135929
0.49598072470963933,0.9933254000402033,1872.0,106704,0.6169631385268255,0.67119652,0.10003025614759081,64584,-15.115505681781112
0.4933344719374503,0.9941790785212556,1584.0,116208,0.5542287237030543,0.65077376,0.088612097971902,65880,-12.926010528008284
0.48952468990440423,1.0285841113883365,1116.0,116208,0.8498718019583872,0.65077376,0.006621996699566091,111672,-14.284397823450597
0.49641642550196985,0.9424242842584301,2376.0,116208,0.6787502717920243,0.67119652,0.04702060098792077,74736,-14.467801220383985
0.49598072470963933,0.9382337826791814,1296.0,106704,0.712831654565268,0.64780545,0.0508055317058676,100872,-15.456745768666297
0.49498515071585825,0.9527929457704514,1764.0,116208,0.8321240593796986,0.63902444,0.0016506787784079657,92016,-13.78068040840483
