1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2004,101,14765,2066,12035,11076,12434,13804,14890,6147,1087,13572,10879,,543,1495,,7269,,12719,7115,8650,1979,10183,2791,6603,4603,12741,,8895,10466,7712,8178,6707,3511,6071,8565,12748,6187,,,955,6962,4026,10697,14092,,,10096,10641,14141,7682,1685,477,1133,10762,4436,7405,,11181,,4155,4763,4774,11395,442,2957,,875,,,,374,9053,12554,6980,7094,10204,4464,,3225,6769,130,10060,2525,10655,14539,14851,10577,12423,11733,,663,3586,6862,7133,12410,2643,3285,264,7594,765,11962
2028,102,14766,2087,12036,11077,12459,13805,14891,6746,1088,13573,11376,,544,1516,,7270,,12720,7116,8651,1980,10184,2792,6604,4628,12742,,8917,10488,7713,8179,6731,3512,6072,8566,12749,6208,,,956,6963,4027,10698,14093,,,10119,10642,14142,7683,1708,478,1134,10763,4437,7406,,11182,,4629,4764, ,11396,443,2958,,876,,,,375,9054,12576,6981,7095,10205,4915,,3226,6770,131,10061,2901,10656,14540,14852,10597,12445,11734,,664,3587,6863,7134,12411,2644,3286,265,8140,766,11963
2029,103,15314,2088,12581,11078,12460,13806,14892, ,1089,13574,11377,,545,1517,,7271,,12721,7117,8673,1981,10185,2793,6605,5051,12743,,8918,10489,7714,8200,6732,3513,6073,8587,12771,6209,,,957,6964,4047,11272,14094,,,10120,10643,14164,8256,1709,479,1135,10764,4458,7429,,11203,,4630,4765,,11397,444,2981,,877,,,,376,9055,12577,7529,7096,10206,4916,,3227,6771,132,10062,2902,10657,14541, ,10598,12446,11735,,665,3588,6880,7135,12412,3142,3309,281,8141,767,11964
2030,104,15315,2089,12582,11101,12461,13807,14893,,1090,13595,11378,,546,1518,,7272,,12744,7118,8674,1982,10186,2813,6606,5052,12765,,8919,10490,7715,8201,7332,3536,6074,8588,12772,6210,,,978,6965,4048,11296,14116,,,10121,10644,14165,8257,1710,480,1158,10765,4459,7430,,11204,,4653,4766,,11398,445,2982,,878,,,,377,9076,12578,7530,7097,10207,4917,,3228,6791,133,10063,2925,10678,14542,,10599,12447,12233,,666,3608,6881,7136,12413,3143,3310,282,8142,768,12487
2031,119,15338,2090,12583, ,12484,13808,14916,,1111,13596,11379,,547,1519,,7273,,13294,7140,8675,1983,10208,2814,6607,5053,12766,,8920,10491,7738,8202,7357,3537,6075,8589,12773,6211,,,979,6966,4049,11297,14117,,, ,10645,14166,8258,2284,481,1159,10766,4460,7431,,11205,,4654,4767,,11399,446,2983,,897,,,,378,9077,12579,7531,7098,10229,4940,,3229,6792,134,10083,2926,10679,14564,,10600,12471,12234,,1136,3609,6882,7137,12414,3144,3311,283,8143,790,12488
2053,120,15339,2112,12584,,12485,13830,14917,,1112,13597,11400,,548,1520,,7274,,13295,7141,8676,2005,10209,2815,6608,5076,12767,,8942,10513,7739,8203, ,3538,6096,8590,12774,6212,,,980,6988,4050,11298,14118,,,,10664,14167,8259,2285,501,1160,10767,4461,7455,,11206,,4655,4787,,11921,447,3532,,898,,,,397,9078,12580,7554,7119,10230,4941,,3250,6793,135,10084,2927,10680,14565,,10601,12994,12235,,1161,3610,6883,7138,12415,3145,3333,284,8144,791,12489
2054,121,15340,2113,12606,,12486,13831,14918,,1113,13598,11401,,549,2043,,7293,,13296,7142,8698,2006,10210,2816,6627,5077,12768,,8943,10514,8262,8204,,3562,6097,8591,12796,6213,,,981,6989,4051, ,14642,,,,10665,14190,8282,2309,502,1183,10787,4462,8005,,11207,,4656,4788,,11922,466,3533,,899,,,,398,9079,12601,7555,7120,10231,4942,,3251,6794,136,10085,2928,10681,14566,,10602,13000,12236,,1162,3611,6884,7139,12416,3146,3334,285,8165,792,12509
2055,122,15341,2114,12607,, ,13832,14941,,1114,13599,11402,,567,2067,,7294,,13319,7143,8699,2007,10233,2817,6628,5078,12790,,8944,10515,8263,8224,,3563,6098,8612,12797,6233,,,982,6990,4052,,14643,,,,10666,14191,8283,2334,503,1184,10788,4463,8030,,11228,,4657,4789,,11923,469,3555,,900,,,,399,9080,12602,7556,7121,10232,4964,,3252,6795,137,10086,2949,10682,15113,,10622,13018,12258,,1163,3612,6885,7156,12417,3147,3335,286,8166,1315,12510
2056,123,15363,2588,12608,,,13833,15466,,1115,13620,11403,,568,2068,,7295,,13320,7165,8700,2008,10234,2839,6629,5079,12791,,9493,10516,8264,8225,,4110,6099,8613,12798,6234,,,983,6991,4072,,14644,,,,10667,14192,8284, ,504,1208,10789,4482,8055,,11229,,4678,4790,,11946,920,3556,,901,,,,400,9081,12603,7557,7122,10255,4965,,3253,6796,138,10087,2950,10704,15114,,10623,13019,12259,,1185,3613,6888,7157,12435,3166,3336,289,8167,1316,12511
2057,124,15364,2589,12609,,,14380,15467,,1116,13621,11404,,569,2069,,7296,,13321,7166,8701,2032,10757,3365,6630,5100,12792,,9517,10539,8265,8226,,4111,6100,8614, ,6235,,,1003,7013,4073,,14666,,,,10668,14216,8308,,505,1209,10790,4483,8080,,11230,,4679,4791,,11947,941,3557,,902,,,,401,9101,12604,7579,7123,10256,4966,,3776,6797,156,10088,2951,10705,15115,,10624,13020,12260,,1186,3632,6908,7158,12436,3167,3358,290,8168,1317,12512
