Element,FIP
627,4.35E-05
628,3.58E-05
629,2.89E-05
630,2.98E-05
631,3.04E-05
632,2.51E-05
633,2.62E-05
634,2.37E-05
635,4.79E-05
636,7.31E-05
637,-4.73E-05
638,6.58E-05
639,6.45E-05
640,4.10E-05
641,5.12E-05
642,0.006356539
643,2.01E-05
644,1.42E-05
645,4.90E-06
646,2.16E-06
647,3.49E-05
648,3.45E-05
649,3.94E-05
650,4.89E-05
651,3.94E-05
652,3.42E-05
653,9.71E-05
654,7.70E-05
655,5.77E-05
656,4.29E-05
657,3.68E-05
658,4.03E-05
659,3.40E-05
660,1.06E-05
661,2.23E-05
662,2.29E-05
663,2.17E-05
664,2.78E-05
665,5.22E-05
666,-7.10E-05
667,-5.60E-05
668,6.21E-05
669,6.48E-05
670,5.26E-05
671,5.49E-05
672,-2.54E-05
673,2.21E-05
674,1.07E-05
675,3.49E-06
676,1.55E-06
677,4.43E-05
678,4.75E-05
679,4.01E-05
680,5.06E-05
681,5.69E-05
682,4.20E-05
683,0.000101897
684,8.23E-05
685,1.51E-05
686,1.77E-05
687,3.65E-05
688,3.77E-05
689,3.56E-05
690,-0.000699797
691,1.65E-05
692,2.41E-05
693,3.48E-05
694,2.97E-05
695,4.92E-05
696,-7.36E-05
697,-6.46E-05
698,4.54E-05
699,4.68E-05
700,6.29E-05
701,5.82E-05
702,3.20E-05
703,1.53E-05
704,2.31E-05
705,5.82E-06
706,4.95E-07
707,3.68E-05
708,5.74E-05
709,4.06E-05
710,5.28E-05
711,6.43E-05
712,5.66E-05
713,0.000106207
714,3.01E-05
715,1.34E-05
716,1.72E-05
717,2.49E-05
718,3.72E-05
719,4.48E-05
720,0.000302158
721,7.93E-06
722,1.96E-05
723,3.91E-05
724,3.71E-05
725,-3.87E-05
726,-6.90E-05
727,-5.98E-05
728,5.04E-05
729,4.60E-05
730,5.59E-05
731,5.78E-05
732,2.69E-05
733,1.68E-05
734,1.82E-05
735,5.48E-06
736,2.59E-07
737,4.48E-05
738,5.73E-05
739,4.02E-05
740,6.12E-05
741,6.80E-05
742,5.28E-05
743,-3.24E-05
744,7.66E-06
745,9.96E-06
746,2.03E-05
747,1.47E-05
748,3.65E-05
749,5.73E-05
750,1.04E-05
751,4.17E-06
752,1.26E-05
753,4.16E-05
754,4.71E-05
755,5.08E-05
756,7.15E-05
757,4.58E-05
758,4.63E-05
759,6.15E-05
760,4.40E-05
761,-3.57E-05
762,-2.54E-05
763,-1.53E-05
764,1.47E-05
765,8.94E-06
766,8.46E-06
767,5.72E-05
768,6.09E-05
769,3.55E-05
770,6.85E-05
771,6.01E-05
772,3.79E-05
773,-2.68E-05
774,-1.11E-05
775,-7.63E-06
776,1.72E-05
777,1.37E-05
778,3.34E-05
779,-4.86E-05
780,-4.54E-05
781,1.28E-06
782,1.59E-05
783,4.23E-05
784,4.23E-05
785,5.85E-05
786,6.93E-05
787,4.63E-05
788,5.22E-05
789,6.21E-05
790,5.32E-05
791,3.50E-05
792,-3.19E-05
793,-2.75E-05
794,-3.93E-05
795,8.31E-06
796,2.73E-05
797,4.63E-05
798,4.48E-05
799,3.40E-05
800,5.60E-05
801,5.24E-05
802,2.92E-05
803,2.96E-05
804,-2.75E-05
805,-2.32E-05
806,-8.29E-06
807,2.09E-05
808,3.95E-05
809,-4.51E-05
810,-5.68E-05
811,2.34E-05
812,5.45E-06
813,1.63E-05
814,3.78E-05
815,4.72E-05
816,5.63E-05
817,5.01E-05
818,5.11E-05
819,5.27E-05
820,6.13E-05
821,4.73E-05
822,3.42E-05
823,-2.48E-05
824,-2.97E-05
825,3.09E-05
826,4.13E-05
827,3.01E-05
828,2.89E-05
829,3.05E-05
830,5.56E-05
831,4.74E-05
832,2.55E-05
833,3.23E-05
834,2.84E-05
835,2.88E-05
836,1.31E-05
837,-2.08E-05
838,-3.60E-05
839,-4.41E-05
840,4.88E-05
841,2.99E-05
842,2.42E-05
843,1.46E-05
844,1.41E-05
845,2.73E-05
846,2.52E-05
847,3.49E-05
848,4.66E-05
849,4.63E-05
850,4.76E-05
851,5.24E-05
852,-6.52E-05
853,4.84E-05
854,2.50E-05
855,3.80E-05
856,3.26E-05
857,2.17E-05
858,2.00E-05
859,3.57E-05
860,5.57E-05
861,6.25E-05
862,3.68E-05
863,2.77E-05
864,2.51E-05
865,3.22E-05
866,1.87E-05
867,-1.41E-05
868,-2.36E-05
869,-3.65E-05
870,-4.87E-05
871,3.39E-05
872,3.10E-05
873,1.74E-05
874,1.02E-05
875,2.12E-05
876,2.24E-05
877,1.91E-05
878,2.77E-05
879,4.67E-05
880,5.01E-05
881,5.16E-05
882,7.47E-05
883,7.89E-05
884,5.56E-05
885,2.01E-05
886,2.61E-05
887,2.11E-05
888,1.68E-05
889,4.54E-05
890,7.86E-05
891,5.82E-05
892,4.67E-05
893,2.34E-05
894,-2.60E-05
895,2.75E-05
896,2.89E-05
897,9.60E-06
898,-1.18E-05
899,-2.43E-05
900,1.22E-05
901,2.08E-05
902,2.86E-05
903,2.46E-05
904,4.70E-05
905,2.70E-05
906,2.13E-05
907,2.07E-05
908,-2.36E-05
909,-3.40E-05
910,8.16E-05
911,6.63E-05
912,7.08E-05
913,6.74E-05
914,5.09E-05
915,3.92E-05
916,1.10E-05
917,1.24E-05
918,2.72E-05
919,-4.61E-05
920,8.85E-05
921,6.45E-05
922,3.32E-05
923,-1.87E-05
924,-3.76E-05
925,4.06E-05
926,2.59E-05
927,1.55E-05
928,-2.03E-05
929,-2.28E-05
930,6.58E-06
931,1.04E-05
932,4.46E-05
933,4.58E-05
934,5.94E-05
935,5.12E-05
936,1.52E-05
937,1.86E-05
938,2.33E-05
939,5.52E-05
940,7.56E-05
941,6.59E-05
942,7.55E-05
943,8.10E-05
944,0.003430104
945,2.58E-05
946,1.26E-05
947,-2.43E-05
948,-4.84E-05
949,-6.66E-05
950,-7.26E-05
951,6.15E-05
952,2.46E-06
953,-2.09E-05
954,-4.03E-05
955,-3.15E-05
956,2.09E-05
957,1.16E-05
958,1.85E-05
959,-1.12E-05
960,8.54E-06
961,3.05E-05
962,3.48E-05
963,4.77E-05
964,6.28E-05
965,6.51E-05
966,1.54E-05
967,1.72E-05
968,1.40E-05
969,4.65E-05
970,7.35E-05
971,7.75E-05
972,8.90E-05
973,7.78E-05
974,3.37E-05
975,1.56E-05
976,-2.23E-05
977,-3.69E-05
978,-4.69E-05
979,-6.61E-05
980,-5.74E-05
981,9.07E-06
982,3.84E-06
983,3.98E-05
984,-3.25E-05
985,-3.04E-05
986,2.81E-05
987,1.87E-05
988,1.38E-05
989,4.89E-06
990,5.83E-06
991,3.31E-05
992,3.87E-05
993,3.31E-05
994,6.14E-05
995,6.73E-05
996,2.40E-05
997,3.27E-05
998,1.57E-05
999,1.90E-05
1000,6.85E-05
1001,6.56E-05
1002,8.15E-05
1003,6.93E-05
1004,3.58E-05
1005,1.72E-05
1006,-1.38E-05
1007,3.92E-05
1008,-4.80E-05
1009,-5.68E-05
1010,6.86E-05
1011,1.47E-05
1012,1.33E-05
1013,1.99E-05
1014,3.76E-05
1015,-3.39E-05
1016,5.26E-05
1017,2.17E-05
1018,1.55E-05
1019,1.91E-05
1020,1.05E-05
1021,1.45E-05
1022,4.47E-05
1023,4.02E-05
1024,-4.15E-05
1025,-5.14E-05
1026,-3.33E-05
1027,1.11E-05
1028,4.18E-07
1029,1.45E-05
1030,5.39E-05
1031,7.19E-05
1032,7.47E-05
1033,7.19E-05
1034,4.92E-05
1035,1.67E-05
1036,1.39E-05
1037,4.46E-05
1038,7.17E-05
1039,-5.75E-05
1040,4.94E-05
1041,4.52E-05
1042,3.00E-05
1043,1.33E-05
1044,2.32E-05
1045,5.37E-05
1046,5.46E-05
1047,3.26E-05
1048,1.58E-05
