94
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,SurfaceFeatures_2,Volumes,Volumes2,Volumes_2
68,0.2475559,0.17620164,-0.33260402,-0.70560014,-0.6171332,0.10319673,3.9255495,1.5599599,4.8122234,87.29229,21.60972,15.381044,108.63322,58.34948,46.868511,49.046394,2.5354176,1.7895305,0.274802,286,16,0.035748713,1,1,1,62424,61776,62424
69,0.78076333,0.53168476,-0.45582923,-0.34450972,0.68068832,0.45847157,3.9049861,1.4666613,4.4599104,15.336594,11.97425,8.154233,143.45454,33,112.36364,20.858959,5.9523301,1.216356,4.6579413,22,3,0.24953829,1,1,1,4752,4752,4752
70,0.2026096,0.16119757,0.74978215,-0.27139089,-0.36847532,0.47791174,2.7304242,1.5680592,4.7468047,95.185783,19.285555,15.343718,107.61411,123.89626,89.663902,46.132896,3.4511166,1.8459061,4.1456952,238,12,0.016720012,1,1,1,52056,51408,52056
71,0.78540105,0.75417805,-0.18103336,0.95767343,0.21130565,0.073746569,5.0632253,0.32075247,5.5339713,30.920795,24.285227,23.319786,18.619673,84.836067,18.363934,48.526428,3.6642101,2.6901593,0.14895757,277,16,0.58443725,1,1,1,65880,59832,65880
72,0.94871372,0.65769148,0.87112576,-0.181003,0.4352977,0.13745479,1.5716823,1.8729229,6.0787315,25.600866,24.287893,16.837471,96.245903,20.377048,130.37704,41.638756,1.6717937,2.1935132,2.0815248,175,10,0.59494138,1,1,1,39528,37800,39528
73,0.66395015,0.51948637,0.29234228,0.88987666,-0.22185194,0.27099317,4.6258745,0.39094412,4.2551103,18.777939,12.467615,9.7548838,37.540539,23.918919,91.864868,23.633883,0.92662144,2.3829267,3.5288887,32,4,0.40697458,1,0,0,7992,6912,7992
74,0.84209269,0.77547175,0.8874625,-0.38184264,0.021330837,0.25719926,1.0353465,1.2630568,4.3694558,24.595428,20.71163,19.073059,17.493977,124.40964,28.012049,38.469048,2.6525266,2.6195192,3.4651673,138,13,0.53078771,1,1,1,35856,29808,35856
75,0.68345028,0.5573864,-0.20711343,0.29272673,-0.04973245,0.93217051,1.7321843,2.207921,4.5522919,27.097137,18.519547,15.103576,29.692913,108.87402,70.370079,37.221031,6.1093454,1.7919261,1.4069411,125,18,0.48158869,1,0,0,27432,27000,27432
76,0.1645136,0.07472685,-0.27820385,0.32194838,-0.25449899,0.86843657,3.3590183,1.5937743,4.7532659,78.590057,12.929133,5.872787,127.05,106.2,108.45,25.458828,5.7100992,0.87902319,1.1432309,40,7,0.0049342266,1,1,1,8640,8640,8640
77,0.814165,0.68290287,-0.27372226,0.87410688,0.14967313,0.37230542,1.3079982,1.8660537,3.962956,30.708776,25.00201,20.971111,105.04225,27.084507,23.281691,48.584755,4.6336174,2.3157983,0.88507986,278,12,0.6224761,1,1,1,61344,60048,61344
78,0.25054061,0.24937935,-0.364447,-0.74136984,-0.54131973,0.15659548,3.1077302,1.3984396,6.263761,97.107765,24.329439,24.216671,58.090908,120.52941,109.99465,60.91795,2.4031014,1.9443235,0.1752964,548,25,0.033047397,1,1,1,121176,118368,121176
79,0.64370465,0.55830187,0.48104215,-0.44886777,-0.72890955,0.18922728,0.5405302,0.78618932,0.36786532,27.071648,17.426146,15.114151,37.767857,71.678574,33.267857,35.776077,1.8042177,0.97283143,2.608206,111,13,0.34867176,1,0,0,24192,23976,24192
80,0.22935668,0.14223863,-0.41583306,0.11560888,0.88597202,0.16962045,3.6724315,1.5425435,4.7258153,78.881538,18.092009,11.220002,87.267517,72.019112,37.815285,39.640949,4.6303821,0.89254171,5.1727209,151,10,0.03304062,1,1,1,33912,32616,33912
81,0.8645094,0.62510419,0.65356815,-0.6748268,-0.1930435,0.28318113,3.0038881,2.3173721,5.1446657,25.425192,21.980318,15.893394,47.344372,118.66888,103.88742,38.837196,2.3633387,1.3131461,2.2541864,142,16,0.51776862,1,0,0,32616,30672,32616
82,0.64470989,0.5270707,0.26814929,0.1502745,0.097576275,0.94656879,4.3529902,1.0073154,6.2640872,19.592247,12.631315,10.326499,43.390244,18.804878,51.146343,23.633883,3.5496743,0.62489069,2.5280681,32,10,0.38753888,1,1,1,8856,6912,8856
83,0.74804211,0.61250234,-0.54935366,0.55486625,-0.3612555,0.50973368,3.3507223,1.5703576,6.0688391,22.703074,16.982855,13.905685,30.101124,51.741573,33.337078,32.730907,5.0809941,2.425976,2.5742261,85,10,0.4595542,1,0,0,19224,18360,19224
84,0.74713302,0.56463748,0.095846772,-0.6756044,0.034184255,0.73020792,0.45915845,0.91239446,0.1376341,32.975414,24.63702,18.619154,120.43182,66.977272,93.818184,47.329231,1.6649439,1.5019977,4.5246811,257,15,0.59040928,1,1,1,57024,55512,57024
85,0.61030662,0.51221353,0.45839861,0.14575854,-0.76639706,0.42574713,2.8479979,2.456152,4.3574204,15.746295,9.6100674,8.0654659,141.60001,116.4,20.700001,20.206684,4.5131831,1.0036228,3.8974562,20,4,0.43082815,1,1,1,4320,4320,4320
86,0.84055513,0.75882339,0.5059523,0.17324151,0.81561333,0.22084957,0.8680076,1.1404433,4.2907281,18.410971,15.475435,13.970675,96.223877,44.104477,74.194031,29.463362,0.25214374,1.0715551,1.5803535,62,8,0.49262315,1,0,0,14472,13392,14472
87,0.48526746,0.32711133,-0.69623792,-0.030196603,-0.028098168,0.71662503,3.3847237,1.5799788,4.7785368,62.108509,30.13924,20.316399,107.73451,92.123894,117.13274,56.318062,0.082533069,1.5421106,6.2790303,433,17,0.086470336,1,1,1,97632,93528,97632
