1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
 4751, 874, 4670, 10982, 6974, 589, 9041, 3918, 6504, 10506, 960, 3793, 10342, 1305, 9592, 743, 869, 6461, 6788, 4400, 2218, 11572, 10189, 11052, 8335, 134,, 2118, 14031, 8320, 15428, 6045, 14947,, 6335, 8680, 532, 9428, 12016, 4448,, 1703, 10392, 3946, 1094, 1011, 13474, 12904, 3289, 347, 9283, 13372, 7470, 13670,, 2782, 964, 12282, 8368, 6664, 1414, 7520, 4771, 10155, ,, 11224, 11842, 9869, 2705, 12502, 12877,, 1790,,, 11938, 14225, 6133, 102, 641, 15420, 11048, 254,,, 1444, 2729
 4752, 1372, 4671, 10983, 6975, 590, 9042, 3919, 6505, 11080, 980, 3814, 10343, 1306, 9593, 744, 870, 6462, 6789, 4401, 2240, 11573, 10210, 11053, 8336, 135,, 2119, 14032, 8321, 15429, 6046, 14948,, 6336, 8700, 533, 9448, 12017, 4449,, 1704, 10393, 3969, 1095, 1012, 13475, 12905, 3290, 348, 9284, 13373, 7992, 14217,, 2783, 965, 12283, 8369, 6665, 1415, 7521, 4772, 10156,,, 11225, 11843, 9870, 2706, 12503, 12901,, 1791,,, 11939, 14226, 6134, 103, 642, 15421, 11049, 277,,, 1465, 2753
 4753, 1373, 4672, 10984, 7522, 591, 9065, 3920, 6506, 11081, 981, 3815, 10344, 1778, 9616, 745, 894, 6463, 6790, 4402, 2241, 11574, 10211, 11054, 8359, 136,, 2141, 14033, 8322, 15450, 6047, 14949,, 6358, 8701, 534, 9449, 12018, 4450,, 1705, 10394, 3970, 1096, 1034, 13495, 12906, 3312, 349, 9285, 13396, 7993, 14218,, 2784, 987, 12284, 8370, 6685, 1989, 7544, 4773, 10157,,, 11747, 11844, 9871, 2707, 12504, 12902,, 1792,,, 11940, 14227, 6135, 123, 643, 15444, 11071, 278,,, 1466, 2754
 4754, 1374, 4673, 11006, 7523, 592, 9066, 3941, 6525, 11105, 982, 3816, 10891, 1779, 9617, 746, 895, 6464, 6791, 4422, 2242, 11575, 10212, 11075, 8360, 137,, 2142, 14054, 8323, 15475, 6048, 14950,, 6359, 8702, 551, 9450, 12040, 4451,, 1706, 10414, 3971, 1097, 1035, 13496, 12928, 3313, 350, 9735, 13397, 7994, 14219,, 2804, 988, 12285, 8393, 6686, 2015, 7545, 5299, 10158,,, 11748, 11867, 10417, 2708, 12505, 12927,, 1812,,, 11941, 14228, 6136, 124, 644, 15445, 11072, 752,,, 1467, 2778
 4776, 1375, 4695, 11007, 7524, 611, 9067, 3942, 6526, 11106, 983, 3817, 10892, 1780, 10141, 768, 918, 6465, 6811, 4423, 2243, 11599, 10213, 11076, 8909, 155,, 2143, 14055, 8324, , 6067, 14973,, 6360, 8703, 552, 9451, 12041, 4471,, 1707, 10415, 4595, 1098, 1036, 13497, 12929, 3314, 351, 9759, 13972, 7995, 14241,, 2805, 989, 12808, 8394, 6687, 2040, 7546, 5300, 10176,,, 11749, 12368, 10418, 2730, 12526, 13501,, 1813,,, 11963, 14250, 6156, 125, 645, 15446, 11073, 753,,, 1468, 2803
 4777, 1376, 4696, 11008, 7525, 612, 9068, 3943, 6527, 11130, 984, 3818, 10893, 1781, 10165, 769, 919, 6466, 6812, 4424, 2244, 11600, 10214, 11077, 8910, 156,, 2166, 14056, 8325,, 6068, 14974,, 6833, 8704, 553, 9452, 12042, 4472,, 1708, 10416, , 1099, 1037, 13498, 12930, 3315, 352, 9760, 13973, 8017, 14242,, 2806, 990, 12809, 8395, 6688, 2665, 7547, 5322, 10177,,, 11771, 12369, 10419, 3256, 12527, ,, 1814,,, 11964, 14251, 6157, 126, 646, 15470, 11074, 777,,, 1469, 3201
 4778, 1377, 4697, 11581, 7526, 613, 9090, 3944, 6528, , 1005, 3840, 10915, 1782, 10166, 770, 920, 6467, 6813, 4425, 2245, 12099, 10235, 11078, 8911, 157,, 2167, 14057, 8344,, 6069, 14975,, 6834, 8725, 554, 9453, 12043, 4473,, 1728, 10439,, 1100, 1038, 13499, 12931, 3786, 353, 9761, 13997, 8018, 14243,, 2807, 1013, 12832, 8396, 6689, , 7568, 5323, 10178,,, 11772, 12370, 10420, 3257, 12528,,, 1815,,, 11965, 14252, 6158, 149, 664, 15471, 11096, 778,,, 2041, 3202
 4779, 1378, 5220, 11582, 7527, 614, 9091, 4492, 6529,, 1006, 3841, 10916, 1783, 10167, 771, 941, 6486, 6814, 4426, 2265, 12123, 10236, 11079, 8912, 158,, 2168, 14080, 8345,, 6070, 15474,, 6835, 8727, 555, 9474, 12044, 4474,, 1729, 10440,, 1118, 1039, 13500, 13451, 3810, 371, 9762, 13998, 8019, 14244,, 2808, 1014, 12833, 8418, 6690,, 7569, 5324, 10179,,, 11773, 12391, 10442, 3258, 12529,,, 1816,,, 11989, 14253, 6159, 576, 665, 15472, 11097, 779,,, 2042, 3203
 4801, 1396, 5221, 11606, 7528, 615, 9092, 4493, 6530,, 1007, 3842, 10917, 1784, 10168, 794, 942, 6487, 6815, 4427, 2266, 12124, 10237, 11099, 8933, 159,, 2192, 14081, 8346,, 6071, 15498,, 6857, 8728, 556, 9475, 12045, 4475,, 1730, 10441,, 1119, 1040, 14045, 13452, 3811, 372, 9782, 14022, 8020, 14245,, 2829, 1015, 12834, 8419, 6712,, 7570, 5325, 10180,,, 11774, 12392, 10443, 3280, 12530,,, 1817,,, 11990, 14826, 6160, 596, 666, 15496, 11098, 801,,, 2043, 3204
 4802, 1397, 5222, 11631, 7548, 616, 9093, 4494, 6531,, 1008, 3843, 10918, 1802, 10190, 795, 943, 6488, 6816, 4925, 2267, 12125, 10238, 11100, 8934, 160,, 2193, 14606, 8347,, 6072, 15499,, 6858, 8729, 557, 9476, 12066, 4476,, 1731, 10939,, 1120, 1058, 14046, 13453, 3812, 373, 9783, 14598, 8042, 14267,, 2830, 1537, 12835, 8420, 6713,, 7571, 5345, 10181,,, 11775, 12393, 10444, 3281, 12531,,, 1836,,, 12489, 14827, 6655, 597, 667, 15497, 11596, 802,,, 2065, 3205
 4803, 1398, 5245, , 7549, 636, 9116, 4495, 6532,, 1009, 3844, 10919, 1803, 10191, 820, 944, 6489, 6836, 4926, 2268, 12148, 10239, 11101, 8935, 161,, 2717, 14629, 8348,, 6092, 15522,, 6859, 9200, 558, 9499, 12067, 4496,, 1732, 10963,, 1121, 1059, 14047, 13454, 3813, 374, 9784, 14623, 8043, 14268,, 2831, 1538, 12836, 8421, 7209,, 7572, 5346, 10182,,, 11776, 12394, 10445, 3282, 12551,,, 1837,,, 12490, 14828, 6656, 598, 668, , 11597, 803,,, 2066, 3226
