1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
949,10557,7996,7726,12956,2363,10068,3255,10353,12820,525,3024,,301,8576,6506,12815,10497,3313,,14655,840,11054,7188,,3440,9988,8316,8222,726,4111,8220,5841,118,11574,4672,65,4139,8503,15146,1982,,416,2814,10661,10040,1155,5626,1583,12935,,3172,935,2151,5352,5565,10621,5058,4532,1970,9569,4925,2495,14829,,10939,7371,6386,9636,1324,4675,3347,5554,1081,655,12251,10655,4726,3659,,7911,1367,12080,14296,11331,9273,13486,10687,,,184,4217,2829,3206,12734,,11045,3813,3644,498
950,10558,7997,7750,12957,2387,10089,3256,10354,12821,976,3047,,302,8601,6507,12816,10498,3335,,14656,842,11055,7189,,3441,10485,8317,8223,727,4112,8242,5842,119,11575,4673,66,4140,8504,15147,1983,,417,2837,10662,10042,1177,5627,1584,12936,,3173,936,2152,5353,5566,10622,5059,4533,1993,9570,4926,2496,14830,,10940,7388,6387,9637,1325,4699,3348,5555,1082,1174,12252,10656,4748,3660,,7912,1388,12081,14320,11351,9274,13487,10688,,,185,4668,2830,3207,12756,,11046,3814,3645,514
970,10559,7998,7751,13480,2388,10090,3278,10355,12843,977,3048,,303,8602,6978,12817,10522,3336,,14657,843,11056,7190,,3442,10486,8318,8224,728,4113,8243,5866,123,11597,4696,67,4163,8505,15170,1984,,418, ,10663,10043,1178,5628,1585,12937,,3195,937,2153,5354,6089,10623,5060,4534,1994,9589,4950,2517,14831,,10941,7389,6388,9638,1326, , ,5556,1083,1175,12272,10675,4749,3661,,7913,1389,12082,14321,11352,9298,14011,10689,,,206,4669,2853,3208,12757,,11070,3815,3667,515
971,10560,7999,7752,13481,2389,10091,3279,10356,12844,978,3570,,304,8603,6979,12818,11047,3337,,14680,864,11077,7191,,3443,10487,8339,8246,729,4114,8244,5867,124,11598,4697,86,4164,8506,15171, ,,437,,10664,10565,1179,5629,1607,12938,,3196,938,2154,5355,6090,10643,5083,4535,1995,9590,5426,2518,14832,,10963,7390,6389,9660,1347,,,5577,1084,1176,12273,10676,4750,3662,,8431,1390, , ,11353,9299,14012,10712,,,207,4691,2854,3209,12758,,11071,3837,3668,516
972,10582,8022,7774,13482,2412,10092,3280,10357,12845,1001,3571,,305,8625,6980,12838,11048,3338,,14681,865,11078,7212,,3444,10488,8340,8247,751,4136,8245,6440,125,11599,5195,87,4165,8527,15172,,,438,, ,10566,1180,5630,1608,12939,,3197,960,2155,5375,6091,10644,5084,4557,2568,9591,5427,2519,14833,,10964,7391,6408,9661,1348,,,5578,1085,1198,12274,10677,4773,3663,,8432,1391,,,11354,9322,14013,10713,,,208,4692,2855,3210,12759,,11569,3838,3669,517
973,10583,8521,7775,13505,2413,10116,3281,10379,12846,1002,3572,,325,8626,6981,12839,11072,3359,,14682,866,11079,7213,,3465,10508,8341,8248,752,4137,8267,6441,143,11600,5196,88,4188,8528,15196,,,439,,,10589,1181,5631,1609,12958,,3198,961,2156,5376,6114,10645,5085,4558,2569,9592,5428,2520,14834,,10965,7392,6409,9662,1349,,,5579,1086,1199,12275,10678,4774,3684,,8433,1392,,,11355,9323,14036,10714,,,209,4693,3478,3231,12760,,11570,3862,3670,518
974,10584,8522,7776,13506,2414,10690,3304,10380,12869,1003,3573,,326,8627,7001,12840,11073,3360,,14705,867,11080,7214,,3466,10509,8342,8272,753,4658,8268,6442,144,11622,5197,89,4189,8529, ,,,440,,,10590,1203,5632,1610,12959,,3199,962,2176,5377,6115,10646,5086,4559,2593,9593,5429,2543,14854,,10966,7393,6410,10187,1350,,,5580,1106,1200,12276,10679,4775,3685,,8434,1393,,,11356,9347,14037,10737,,,210,4694,3479,3232,12781,,11593,4314,3671,519
975,10585,8523,7777,13507,3013,10691,3305,10381,12870,1004,3595,,327,8628,7002,12841,11097,3361,,14706,868,11081,7215,,3467,10510,8343,8769,754,4659,8269,6466,148,11623,5198,90,4190,8530,,,,441,,,10591,1204,5650,1632,12960,,3200,963,2177,5378,6116,10647,5108,4581,2594,9594,5450,2544,14855,,10967,7394,6411,10210,1372,,,5581,1107,1201,12297,10680,4798,3686,,8436,1394,,,11376,9348,14038,10738,,,232,4695,3480,3233,12782,,11594,4315,3692,520
995,10586,8524,7778,13508,3038,10692,3306,10382,13393,1025,3596,,328,8629,7003,12842,11098,3362,,14707,891,11104,7238,,3468,10511,8365,8770,775,4660,8270,6467,149,11624,5199,91,4213,8531,,,,463,,,10592,1205,5651,1633,12961,,3220,985,2181,5379,6117,10668,5109,4582,2619,9615,5451,2545,14856,,10990,7395,6412,10211,1373,,,5602,1108,1202,12298,10700,4799,4106,,8456,1412,,,11377, ,14061,10762,,,233,4715,4103,3234,12783,,11595,4337,3693,521
996,10607,8546,7798,13509,3039,10693,3779,10406,13394,1026,3597,,329,8630,7004,12863,11122,3363,,15232,13291,11105,7239,,4015,10512,8366,8771,776,4661,8271, ,169,12146,5200,115,4214,8551,,,,889,,,10614,1206,5652,1634,12962,,3221,986,2206,5400,6138,10669,5110,4583, ,9616,5452,3092,14857,,10991,7413,6413,10212,1374,,,5603,1109,1223,12299,11204,4800,4107,,8457,1413,,,11378,,14062,10787,,,234,4716,4104,3257,12784,,11596,4338,3694,522
